{'T1': '21.5755859375', 'T2': '21.702143892576487', 'T3': '214.88294117647058', 'P': '753.4294350124768', 'A': '2430.384585965207', 'T': '1.2247231006622314', 'H': '41.475547417410546', 'Ax': '-0.052734375', 'Ay': '-0.0048828125', 'Az': '-0.9697265625', 'Wx': '-9.404580152671755', 'Wy': '-3.786259541984733', 'Wz': '-14.412213740458014'}
{'T1': '24.3138671875', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0560406422217', 'A': '2444.756217677226', 'T': '64.58113193511963', 'H': '0', 'Ax': '-0.0615234375', 'Ay': '-0.1123046875', 'Az': '-0.9990234375', 'Wx': '-2.4427480916030535', 'Wy': '-1.2213740458015268', 'Wz': '-1.2213740458015268', 'Mx': '29.513514172197194', 'My': '-50.307126429881585', 'Mz': '-31.45516061265384', 'head': '149.60127228583394'}
{'T1': '24.30390625', 'T2': '0', 'T3': '219.49470588235295', 'P': '752.0884211898805', 'A': '2444.7272268922848', 'T': '65.03896999359131', 'H': '0', 'Ax': '-0.0498046875', 'Ay': '-0.1181640625', 'Az': '-1.01171875', 'Wx': '-2.564885496183206', 'Wy': '-0.9770992366412213', 'Wz': '-1.099236641221374', 'Mx': '30.854755868310377', 'My': '-48.96515605188386', 'Mz': '-27.626068098891462', 'head': '147.78345394142437'}
{'T1': '24.3189453125', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0863609843391', 'A': '2444.6381634217632', 'T': '65.46723508834839', 'H': '0', 'Ax': '-0.0546875', 'Ay': '-0.1171875', 'Az': '-0.98828125', 'Wx': '-2.564885496183206', 'Wy': '-0.9770992366412213', 'Wz': '-1.099236641221374', 'Mx': '30.854896726147853', 'My': '-50.9776554605921', 'Mz': '-28.77355867313338', 'head': '148.81502534126162'}
{'T1': '24.3064453125', 'T2': '0', 'T3': '219.6829411764706', 'P': '752.078427103778', 'A': '2444.887548132195', 'T': '65.90689086914062', 'H': '0', 'Ax': '-0.0556640625', 'Ay': '-0.1181640625', 'Az': '-0.994140625', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.2213740458015268', 'Mx': '30.854896726147853', 'My': '-50.30689683611063', 'Mz': '-28.77355867313338', 'head': '148.47782275324133'}
{'T1': '24.3138671875', 'T2': '0', 'T3': '219.54176470588234', 'P': '752.0359534595067', 'A': '2444.905798198845', 'T': '66.33631825447083', 'H': '0', 'Ax': '-0.0380859375', 'Ay': '-0.1181640625', 'Az': '-0.9951171875', 'Wx': '-2.687022900763359', 'Wy': '-1.2213740458015268', 'Wz': '-1.099236641221374', 'Mx': '31.525799229392458', 'My': '-48.965603058418075', 'Mz': '-29.15356349465478', 'head': '147.22512267573578'}
{'T1': '24.3013671875', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.078427103778', 'A': '2444.6724786318027', 'T': '66.79293417930603', 'H': '0', 'Ax': '-0.0576171875', 'Ay': '-0.11328125', 'Az': '-0.9921875', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.099236641221374', 'Mx': '31.525943066972008', 'My': '-50.978120704039846', 'Mz': '-29.533473379570783', 'head': '148.26648084658373'}
{'T1': '24.3064453125', 'T2': '0', 'T3': '219.63588235294117', 'P': '752.0412493428603', 'A': '2444.968053913152', 'T': '67.22295379638672', 'H': '0', 'Ax': '-0.0546875', 'Ay': '-0.119140625', 'Az': '-0.9853515625', 'Wx': '-2.4427480916030535', 'Wy': '-1.3435114503816794', 'Wz': '-1.099236641221374', 'Mx': '34.20853368008325', 'My': '-49.63591161423844', 'Mz': '-28.777154269678608', 'head': '145.4258085258848'}
{'T1': '24.3064453125', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0600618508656', 'A': '2444.9351352605236', 'T': '67.67276620864868', 'H': '0', 'Ax': '-0.056640625', 'Ay': '-0.115234375', 'Az': '-1.0009765625', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.2213740458015268', 'Mx': '31.525943066972008', 'My': '-52.319650196251416', 'Mz': '-29.149921777238696', 'head': '148.9283419391537'}
{'T1': '24.3013671875', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0990915454128', 'A': '2444.705049265977', 'T': '68.1181538105011', 'H': '0', 'Ax': '-0.048828125', 'Ay': '-0.1142578125', 'Az': '-0.990234375', 'Wx': '-2.687022900763359', 'Wy': '-1.2213740458015268', 'Wz': '-1.099236641221374', 'Mx': '29.513514172197194', 'My': '-49.63636474414983', 'Mz': '-29.9207625339878', 'head': '149.26451229807992'}
{'T1': '24.3064453125', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0691404844947', 'A': '2444.6284702896032', 'T': '68.540531873703', 'H': '0', 'Ax': '-0.052734375', 'Ay': '-0.12109375', 'Az': '-0.9853515625', 'Wx': '-2.687022900763359', 'Wy': '-1.099236641221374', 'Wz': '-1.2213740458015268', 'Mx': '31.525799229392458', 'My': '-48.965603058418075', 'Mz': '-28.769963974988272', 'head': '147.22512267573578'}
{'T1': '24.3013671875', 'T2': '0', 'T3': '219.54176470588234', 'P': '752.0767050676504', 'A': '2445.0009726134413', 'T': '68.98970794677734', 'H': '0', 'Ax': '-0.05078125', 'Ay': '-0.1142578125', 'Az': '-0.998046875', 'Wx': '-2.687022900763359', 'Wy': '-1.099236641221374', 'Wz': '-1.2213740458015268', 'Mx': '29.513514172197194', 'My': '-46.95331800122281', 'Mz': '-29.53716301432129', 'head': '147.84770485871766'}
{'T1': '24.311328125', 'T2': '0', 'T3': '219.6829411764706', 'P': '752.0612067471765', 'A': '2444.664969379554', 'T': '69.43192481994629', 'H': '0', 'Ax': '-0.0419921875', 'Ay': '-0.1171875', 'Az': '-0.9970703125', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.099236641221374', 'Mx': '32.86717259959228', 'My': '-48.96537958714768', 'Mz': '-29.15720612210849', 'head': '146.1291892896112'}
{'T1': '24.31640625', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0908507875347', 'A': '2444.5554725024767', 'T': '69.8557641506195', 'H': '0', 'Ax': '-0.0546875', 'Ay': '-0.119140625', 'Az': '-1.0', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.2213740458015268', 'Mx': '32.86717259959228', 'My': '-51.648414085073576', 'Mz': '-31.45909081595916', 'head': '147.52880770915152'}
{'T1': '24.3138671875', 'T2': '0', 'T3': '219.6829411764706', 'P': '752.0849771026776', 'A': '2444.905798198845', 'T': '70.28720998764038', 'H': '0', 'Ax': '-0.0546875', 'Ay': '-0.1171875', 'Az': '-0.9892578125', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.3435114503816794', 'Mx': '31.525943066972008', 'My': '-50.30735595793406', 'Mz': '-27.232163765578253', 'head': '147.92599912470595'}
{'T1': '24.311328125', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0660346304896', 'A': '2444.7111623665087', 'T': '70.7163438796997', 'H': '0', 'Ax': '-0.056640625', 'Ay': '-0.1142578125', 'Az': '-0.9921875', 'Wx': '-2.687022900763359', 'Wy': '-0.9770992366412213', 'Wz': '-0.9770992366412213', 'Mx': '31.525943066972008', 'My': '-49.63659121182827', 'Mz': '-31.067679788899135', 'head': '147.57893523749306'}
{'T1': '24.3013671875', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0686719955712', 'A': '2444.8002250311642', 'T': '71.16552805900574', 'H': '0', 'Ax': '-0.0615234375', 'Ay': '-0.1181640625', 'Az': '-0.9912109375', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.2213740458015268', 'Mx': '31.525799229392458', 'My': '-51.648649801345094', 'Mz': '-27.23556589632223', 'head': '148.60054251665875'}
{'T1': '24.3064453125', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.086699146227', 'A': '2444.5189738053004', 'T': '71.60284781455994', 'H': '0', 'Ax': '-0.0537109375', 'Ay': '-0.1220703125', 'Az': '-0.98828125', 'Wx': '-2.687022900763359', 'Wy': '-1.3435114503816794', 'Wz': '-1.2213740458015268', 'Mx': '32.866722338000415', 'My': '-52.31845596661291', 'Mz': '-29.935722085689612', 'head': '147.86275101895822'}
{'T1': '24.3064453125', 'T2': '0', 'T3': '219.54176470588234', 'P': '752.0703940248239', 'A': '2444.5590525297', 'T': '72.0494818687439', 'H': '0', 'Ax': '-0.0322265625', 'Ay': '-0.1162109375', 'Az': '-0.9931640625', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.2213740458015268', 'Mx': '29.513514172197194', 'My': '-49.63636474414983', 'Mz': '-28.38636445532176', 'head': '149.26451229807992'}
{'T1': '24.3064453125', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0945024452702', 'A': '2444.5665623938635', 'T': '72.47988796234131', 'H': '0', 'Ax': '-0.052734375', 'Ay': '-0.1142578125', 'Az': '-0.9970703125', 'Wx': '-2.687022900763359', 'Wy': '-1.2213740458015268', 'Wz': '-1.099236641221374', 'Mx': '32.19670781307779', 'My': '-49.63659121182827', 'Mz': '-28.766370174906605', 'head': '147.0305960965379'}
{'T1': '24.30390625', 'T2': '0', 'T3': '219.54176470588234', 'P': '752.0969005771345', 'A': '2444.5994814093874', 'T': '72.93509697914124', 'H': '0', 'Ax': '-0.0595703125', 'Ay': '-0.1162109375', 'Az': '-0.9951171875', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.2213740458015268', 'Mx': '30.18427585792895', 'My': '-50.307126429881585', 'Mz': '-30.304362053654312', 'head': '149.03624346792648'}
{'T1': '24.30390625', 'T2': '0', 'T3': '219.49470588235295', 'P': '752.0901432336378', 'A': '2444.712557477013', 'T': '73.36537909507751', 'H': '0', 'Ax': '-0.05859375', 'Ay': '-0.1171875', 'Az': '-0.9912109375', 'Wx': '-2.4427480916030535', 'Wy': '-1.2213740458015268', 'Wz': '-1.3435114503816794', 'Mx': '31.525943066972008', 'My': '-48.96582646572248', 'Mz': '-28.766370174906605', 'head': '147.22512267573578'}
{'T1': '24.296484375', 'T2': '0', 'T3': '219.63588235294117', 'P': '752.0721160541807', 'A': '2444.794112603093', 'T': '73.81451106071472', 'H': '0', 'Ax': '-0.052734375', 'Ay': '-0.1162109375', 'Az': '-0.994140625', 'Wx': '-2.687022900763359', 'Wy': '-1.099236641221374', 'Wz': '-1.2213740458015268', 'Mx': '31.52565535062933', 'My': '-54.33144858299948', 'Mz': '-28.006263775183157', 'head': '149.87568200163878'}
{'T1': '24.30390625', 'T2': '0', 'T3': '219.63588235294117', 'P': '752.0841702625856', 'A': '2444.69788817079', 'T': '74.24366998672485', 'H': '0', 'Ax': '-0.0546875', 'Ay': '-0.1201171875', 'Az': '-0.998046875', 'Wx': '-2.687022900763359', 'Wy': '-1.2213740458015268', 'Wz': '-1.2213740458015268', 'Mx': '30.184138101666377', 'My': '-48.96537958714768', 'Mz': '-28.006263775183157', 'head': '148.34872711328737'}
{'T1': '24.3013671875', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0617838795989', 'A': '2444.5629829945647', 'T': '74.68250894546509', 'H': '0', 'Ax': '-0.0556640625', 'Ay': '-0.11328125', 'Az': '-0.998046875', 'Wx': '-2.564885496183206', 'Wy': '-0.9770992366412213', 'Wz': '-1.099236641221374', 'Mx': '31.52565535062933', 'My': '-47.62386233818473', 'Mz': '-30.69179591800894', 'head': '146.4965630175858'}
{'T1': '24.29140625', 'T2': '0', 'T3': '219.54176470588234', 'P': '752.0586780356857', 'A': '2444.8732236937435', 'T': '75.11279511451721', 'H': '0', 'Ax': '-0.0537109375', 'Ay': '-0.115234375', 'Az': '-0.994140625', 'Wx': '-2.687022900763359', 'Wy': '-1.2213740458015268', 'Wz': '-1.099236641221374', 'Mx': '30.855037543660703', 'My': '-54.331696544272106', 'Mz': '-30.304362053654312', 'head': '150.407703640642'}
{'T1': '24.2888671875', 'T2': '0', 'T3': '219.49470588235295', 'P': '752.0762363799165', 'A': '2444.7576136255716', 'T': '75.56251502037048', 'H': '0', 'Ax': '-0.056640625', 'Ay': '-0.11328125', 'Az': '-0.994140625', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.2213740458015268', 'Mx': '30.855037543660703', 'My': '-49.63636474414983', 'Mz': '-28.38636445532176', 'head': '148.13402230639633'}
{'T1': '24.296484375', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.1042576581589', 'A': '2444.7211147789703', 'T': '75.99070191383362', 'H': '0', 'Ax': '-0.052734375', 'Ay': '-0.115234375', 'Az': '-1.001953125', 'Wx': '-2.4427480916030535', 'Wy': '-1.099236641221374', 'Wz': '-1.3435114503816794', 'Mx': '32.867322600855964', 'My': '-50.97788811561334', 'Mz': '-27.23556589632223', 'head': '147.18863320193188'}
{'T1': '24.2888671875', 'T2': '0', 'T3': '219.63588235294117', 'P': '752.0820785645573', 'A': '2444.63597995514', 'T': '76.4367048740387', 'H': '0', 'Ax': '-0.0625', 'Ay': '-0.1201171875', 'Az': '-0.9990234375', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.2213740458015268', 'Mx': '30.184551252177766', 'My': '-46.28297858667257', 'Mz': '-29.529784666486602', 'head': '146.88865803962798'}
{'T1': '24.296484375', 'T2': '0', 'T3': '219.73', 'P': '752.0841702625856', 'A': '2444.699285833089', 'T': '76.86710500717163', 'H': '0', 'Ax': '-0.0517578125', 'Ay': '-0.115234375', 'Az': '-0.994140625', 'Wx': '-2.4427480916030535', 'Wy': '-1.099236641221374', 'Wz': '-1.2213740458015268', 'Mx': '32.19626699301953', 'My': '-50.30666717659301', 'Mz': '-29.544545050203368', 'head': '147.3807569288072'}
{'T1': '24.298828125', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0814024278187', 'A': '2444.694307977063', 'T': '77.30957198143005', 'H': '0', 'Ax': '-0.0576171875', 'Ay': '-0.1162109375', 'Az': '-0.990234375', 'Wx': '-2.687022900763359', 'Wy': '-1.099236641221374', 'Wz': '-1.2213740458015268', 'Mx': '32.1964139751108', 'My': '-49.63613821162915', 'Mz': '-26.088026530307598', 'head': '147.0305960965379'}
{'T1': '24.296484375', 'T2': '0', 'T3': '219.63588235294117', 'P': '752.0869065353872', 'A': '2444.7028654047676', 'T': '77.74388194084167', 'H': '0', 'Ax': '-0.0576171875', 'Ay': '-0.1220703125', 'Az': '-0.98828125', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.3435114503816794', 'Mx': '32.86717259959228', 'My': '-48.2946209626662', 'Mz': '-29.540853571083606', 'head': '145.76253722314246'}
{'T1': '24.29140625', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0869065353872', 'A': '2444.84528110485', 'T': '78.19285225868225', 'H': '0', 'Ax': '-0.0625', 'Ay': '-0.119140625', 'Az': '-0.9921875', 'Wx': '-2.687022900763359', 'Wy': '-1.2213740458015268', 'Wz': '-1.3435114503816794', 'Mx': '33.53793122407375', 'My': '-48.96537958714768', 'Mz': '-30.308148469033828', 'head': '145.59152774797138'}
{'T1': '24.3013671875', 'T2': '0', 'T3': '219.63588235294117', 'P': '752.1120607575295', 'A': '2444.4495563521864', 'T': '78.59697985649109', 'H': '0', 'Ax': '-0.0546875', 'Ay': '-0.12109375', 'Az': '-0.998046875', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.3435114503816794', 'Mx': '32.867322600855964', 'My': '-50.97788811561334', 'Mz': '-28.38636445532176', 'head': '147.18863320193188'}
{'T1': '24.283984375', 'T2': '0', 'T3': '219.6829411764706', 'P': '752.0886285449716', 'A': '2444.6262889827335', 'T': '79.04530096054077', 'H': '0', 'Ax': '-0.048828125', 'Ay': '-0.1201171875', 'Az': '-1.005859375', 'Wx': '-2.564885496183206', 'Wy': '-0.9770992366412213', 'Wz': '-1.2213740458015268', 'Mx': '33.53808428658772', 'My': '-50.307126429881585', 'Mz': '-28.769963974988272', 'head': '146.30993247402023'}
{'T1': '24.298828125', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.1089546990863', 'A': '2444.644538146227', 'T': '79.47474098205566', 'H': '0', 'Ax': '-0.05078125', 'Ay': '-0.1171875', 'Az': '-0.9921875', 'Wx': '-2.564885496183206', 'Wy': '-1.3435114503816794', 'Wz': '-1.2213740458015268', 'Mx': '33.538543211330946', 'My': '-50.30781481699642', 'Mz': '-29.526096874723446', 'head': '146.30993247402023'}
{'T1': '24.29140625', 'T2': '0', 'T3': '219.6829411764706', 'P': '752.092072564452', 'A': '2444.3840714856174', 'T': '79.92264485359192', 'H': '0', 'Ax': '-0.052734375', 'Ay': '-0.12109375', 'Az': '-0.9990234375', 'Wx': '-2.687022900763359', 'Wy': '-1.2213740458015268', 'Wz': '-0.9770992366412213', 'Mx': '31.525943066972008', 'My': '-48.29506171961669', 'Mz': '-27.232163765578253', 'head': '146.8643904512811'}
{'T1': '24.29140625', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0972385944516', 'A': '2444.600882214175', 'T': '80.35409188270569', 'H': '0', 'Ax': '-0.0556640625', 'Ay': '-0.11328125', 'Az': '-0.994140625', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.2213740458015268', 'Mx': '33.53793122407375', 'My': '-50.9776554605921', 'Mz': '-31.07544336698405', 'head': '146.659292653523'}
{'T1': '24.29140625', 'T2': '0', 'T3': '219.6829411764706', 'P': '752.0829935339165', 'A': '2444.476718474709', 'T': '80.79333281517029', 'H': '0', 'Ax': '-0.0615234375', 'Ay': '-0.12109375', 'Az': '-0.9970703125', 'Wx': '-2.4427480916030535', 'Wy': '-1.099236641221374', 'Wz': '-1.099236641221374', 'Mx': '29.513514172197194', 'My': '-52.31941148707685', 'Mz': '-29.9207625339878', 'head': '150.57254359681028'}
{'T1': '24.2888671875', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0782964890237', 'A': '2444.619131185366', 'T': '81.23148989677429', 'H': '0', 'Ax': '-0.0517578125', 'Ay': '-0.12109375', 'Az': '-0.9921875', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.099236641221374', 'Mx': '28.84288408254886', 'My': '-49.63659121182827', 'Mz': '-27.232163765578253', 'head': '149.83993916191292'}
{'T1': '24.2939453125', 'T2': '0', 'T3': '219.63588235294117', 'P': '752.0734685542639', 'A': '2444.7687035521776', 'T': '81.66347002983093', 'H': '0', 'Ax': '-0.0517578125', 'Ay': '-0.1181640625', 'Az': '-1.0068359375', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.3435114503816794', 'Mx': '28.84275248646544', 'My': '-48.965603058418075', 'Mz': '-28.00276493565525', 'head': '149.50016676655255'}
{'T1': '24.2939453125', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.093456543226', 'A': '2444.2978096364977', 'T': '82.09912014007568', 'H': '0', 'Ax': '-0.0556640625', 'Ay': '-0.115234375', 'Az': '-0.998046875', 'Wx': '-2.687022900763359', 'Wy': '-1.099236641221374', 'Wz': '-1.2213740458015268', 'Mx': '31.525799229392458', 'My': '-48.29484137268632', 'Mz': '-28.00276493565525', 'head': '146.8643904512811'}
{'T1': '24.286328125', 'T2': '0', 'T3': '219.6829411764706', 'P': '752.0731304624521', 'A': '2444.7869528977217', 'T': '82.54716610908508', 'H': '0', 'Ax': '-0.052734375', 'Ay': '-0.1162109375', 'Az': '-0.998046875', 'Wx': '-2.687022900763359', 'Wy': '-1.099236641221374', 'Wz': '-1.3435114503816794', 'Mx': '32.19656091512421', 'My': '-48.965603058418075', 'Mz': '-28.769963974988272', 'head': '146.6737103128848'}
{'T1': '24.2814453125', 'T2': '0', 'T3': '219.6829411764706', 'P': '752.0634746564266', 'A': '2445.078946877896', 'T': '82.9777262210846', 'H': '0', 'Ax': '-0.0517578125', 'Ay': '-0.1171875', 'Az': '-1.0107421875', 'Wx': '-2.687022900763359', 'Wy': '-1.099236641221374', 'Wz': '-1.099236641221374', 'Mx': '33.53823730528937', 'My': '-50.978120704039846', 'Mz': '-30.30057658423496', 'head': '146.659292653523'}
{'T1': '24.29140625', 'T2': '0', 'T3': '219.63588235294117', 'P': '752.1058486465286', 'A': '2444.5715416886314', 'T': '83.41930198669434', 'H': '0', 'Ax': '-0.0625', 'Ay': '-0.1220703125', 'Az': '-0.9912109375', 'Wx': '-2.687022900763359', 'Wy': '-1.099236641221374', 'Wz': '-1.2213740458015268', 'Mx': '32.19670781307779', 'My': '-50.978120704039846', 'Mz': '-29.149921777238696', 'head': '147.72435568542238'}
{'T1': '24.2939453125', 'T2': '0', 'T3': '219.6829411764706', 'P': '752.0958545864285', 'A': '2444.6885485334133', 'T': '83.86430096626282', 'H': '0', 'Ax': '-0.0615234375', 'Ay': '-0.1123046875', 'Az': '-0.9990234375', 'Wx': '-2.687022900763359', 'Wy': '-1.2213740458015268', 'Wz': '-1.2213740458015268', 'Mx': '29.513514172197194', 'My': '-49.63636474414983', 'Mz': '-30.304362053654312', 'head': '149.26451229807992'}
{'T1': '24.2888671875', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0624602567487', 'A': '2444.830611711539', 'T': '84.28538703918457', 'H': '0', 'Ax': '-0.052734375', 'Ay': '-0.12109375', 'Az': '-1.013671875', 'Wx': '-2.687022900763359', 'Wy': '-1.2213740458015268', 'Wz': '-1.099236641221374', 'Mx': '30.855037543660703', 'My': '-50.307126429881585', 'Mz': '-30.304362053654312', 'head': '148.47782275324133'}
{'T1': '24.2888671875', 'T2': '0', 'T3': '219.54176470588234', 'P': '752.068640639714', 'A': '2444.8066022085627', 'T': '84.74312806129456', 'H': '0', 'Ax': '-0.052734375', 'Ay': '-0.1142578125', 'Az': '-0.9873046875', 'Wx': '-2.687022900763359', 'Wy': '-1.2213740458015268', 'Wz': '-1.2213740458015268', 'Mx': '33.53808428658772', 'My': '-48.965603058418075', 'Mz': '-31.45516061265384', 'head': '145.59152774797138'}
{'T1': '24.2939453125', 'T2': '0', 'T3': '219.73', 'P': '752.0700245508737', 'A': '2444.8162926060645', 'T': '85.17082691192627', 'H': '0', 'Ax': '-0.0595703125', 'Ay': '-0.119140625', 'Az': '-0.986328125', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.3435114503816794', 'Mx': '31.52565535062933', 'My': '-52.319172709555055', 'Mz': '-30.308148469033828', 'head': '148.9283419391537'}
{'T1': '24.286328125', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0488919030531', 'A': '2444.798043354642', 'T': '85.61101198196411', 'H': '0', 'Ax': '-0.0517578125', 'Ay': '-0.115234375', 'Az': '-0.9912109375', 'Wx': '-2.4427480916030535', 'Wy': '-1.099236641221374', 'Wz': '-1.3435114503816794', 'Mx': '26.159705743538424', 'My': '-50.97788811561334', 'Mz': '-29.15356349465478', 'head': '152.83501494266807'}
{'T1': '24.2939453125', 'T2': '0', 'T3': '219.6829411764706', 'P': '752.1024046253862', 'A': '2444.7797941359427', 'T': '86.04043316841125', 'H': '0', 'Ax': '-0.0517578125', 'Ay': '-0.1162109375', 'Az': '-1.0', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.3435114503816794', 'Mx': '32.19670781307779', 'My': '-49.63659121182827', 'Mz': '-29.533473379570783', 'head': '147.0305960965379'}
{'T1': '24.283984375', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0733376451618', 'A': '2444.8016226973714', 'T': '86.48202514648438', 'H': '0', 'Ax': '-0.05078125', 'Ay': '-0.1181640625', 'Az': '-1.013671875', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.099236641221374', 'Mx': '28.84288408254886', 'My': '-50.978120704039846', 'Mz': '-28.382818572574518', 'head': '150.49927537650083'}
{'T1': '24.2814453125', 'T2': '0', 'T3': '219.6829411764706', 'P': '752.093794574348', 'A': '2444.8198720285886', 'T': '86.90966796875', 'H': '0', 'Ax': '-0.0478515625', 'Ay': '-0.12109375', 'Az': '-0.990234375', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.2213740458015268', 'Mx': '33.53823730528937', 'My': '-50.30735595793406', 'Mz': '-28.766370174906605', 'head': '146.30993247402023'}
{'T1': '24.2888671875', 'T2': '0', 'T3': '219.63588235294117', 'P': '752.0647277732976', 'A': '2445.053535853112', 'T': '87.3589301109314', 'H': '0', 'Ax': '-0.0576171875', 'Ay': '-0.1181640625', 'Az': '-1.0', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.3435114503816794', 'Mx': '30.184413574760434', 'My': '-52.990414942357205', 'Mz': '-27.615715367910344', 'head': '150.33328479305354'}
{'T1': '24.283984375', 'T2': '0', 'T3': '219.63588235294117', 'P': '752.0575018047549', 'A': '2444.9561757253746', 'T': '87.77831387519836', 'H': '0', 'Ax': '-0.05078125', 'Ay': '-0.1181640625', 'Az': '-0.98828125', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.3435114503816794', 'Mx': '30.85517832086622', 'My': '-50.978120704039846', 'Mz': '-30.30057658423496', 'head': '148.81502534126162'}
{'T1': '24.27890625', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.0457860643379', 'A': '2444.879598907662', 'T': '88.23023891448975', 'H': '0', 'Ax': '-0.0625', 'Ay': '-0.1171875', 'Az': '-0.990234375', 'Wx': '-2.687022900763359', 'Wy': '-1.099236641221374', 'Wz': '-1.2213740458015268', 'Mx': '31.525511430664952', 'My': '-48.96515605188386', 'Mz': '-28.393458879416226', 'head': '147.22512267573578'}
{'T1': '24.29140625', 'T2': '0', 'T3': '219.6829411764706', 'P': '752.0640516605351', 'A': '2444.682437643318', 'T': '88.66459512710571', 'H': '0', 'Ax': '-0.0556640625', 'Ay': '-0.1103515625', 'Az': '-0.9873046875', 'Wx': '-2.564885496183206', 'Wy': '-1.3435114503816794', 'Wz': '-1.2213740458015268', 'Mx': '32.86717259959228', 'My': '-48.96537958714768', 'Mz': '-31.07544336698405', 'head': '146.1291892896112'}
{'T1': '24.2814453125', 'T2': '0', 'T3': '219.58882352941177', 'P': '752.072291639572', 'A': '2444.53644701066', 'T': '89.10669779777527', 'H': '0', 'Ax': '-0.0546875', 'Ay': '-0.1201171875', 'Az': '-1.0078125', 'Wx': '-2.564885496183206', 'Wy': '-1.3435114503816794', 'Wz': '-1.2213740458015268', 'Mx': '28.84288408254886', 'My': '-48.96582646572248', 'Mz': '-27.99926697024243', 'head': '149.50016676655255'}
{'T1': '24.286328125', 'T2': '0', 'T3': '219.6829411764706', 'P': '752.0806946043537', 'A': '2444.2978096364977', 'T': '89.51782202720642', 'H': '0', 'Ax': '-0.05078125', 'Ay': '-0.1162109375', 'Az': '-0.99609375', 'Wx': '-2.687022900763359', 'Wy': '-1.2213740458015268', 'Wz': '-1.2213740458015268', 'Mx': '33.53808428658772', 'My': '-50.307126429881585', 'Mz': '-30.304362053654312', 'head': '146.30993247402023'}
{'T1': '24.286328125', 'T2': '0', 'T3': '219.6829411764706', 'P': '752.1177711893793', 'A': '2444.6520505215035', 'T': '89.96715998649597', 'H': '0', 'Ax': '-0.056640625', 'Ay': '-0.1201171875', 'Az': '-0.994140625', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.2213740458015268', 'Mx': '31.526086863385665', 'My': '-50.30758542029628', 'Mz': '-30.296792060421318', 'head': '147.92599912470595'}
